,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1003,2017-06-16,0.001713478964378092,-0.0151848680224195,0.01636356160105219,0.001713478964378092,0.001713478964378092,-0.0012611802173374737,-0.0012611802173374737,-0.0012611802173374737,0.00057047910336198,0.00057047910336198,0.00057047910336198,-0.0018316593206994536,-0.0018316593206994536,-0.0018316593206994536,0.0,0.0,0.0,0.00045229874704061823
1004,2017-06-17,0.001723844083509765,-0.01604539369846685,0.015606259206874567,0.001723844083509765,0.001723844083509765,-0.0015883520190892889,-0.0015883520190892889,-0.0015883520190892889,0.00026249211837437087,0.00026249211837437087,0.00026249211837437087,-0.00185084413746366,-0.00185084413746366,-0.00185084413746366,0.0,0.0,0.0,0.0001354920644204762
1005,2017-06-18,0.0017342092026414381,-0.01544307534655221,0.016223867808351167,0.0017342092026414381,0.0017342092026414381,-0.0014891052104583427,-0.0014891052104583427,-0.0014891052104583427,0.00034884923000130184,0.00034884923000130184,0.00034884923000130184,-0.0018379544404596446,-0.0018379544404596446,-0.0018379544404596446,0.0,0.0,0.0,0.00024510399218309544
1006,2017-06-19,0.0017445743217731125,-0.0157590978350844,0.014649106216609814,0.0017445743217731125,0.0017445743217731125,-0.002141089449989459,-0.002141089449989459,-0.002141089449989459,-0.0003460951737094007,-0.0003460951737094007,-0.0003460951737094007,-0.0017949942762800584,-0.0017949942762800584,-0.0017949942762800584,0.0,0.0,0.0,-0.00039651512821634646
1007,2017-06-20,0.0017549394409047856,-0.015805411090069714,0.015629919175066714,0.0017549394409047856,0.0017549394409047856,-0.0021029659603530497,-0.0021029659603530497,-0.0021029659603530497,-0.0003781292274232726,-0.0003781292274232726,-0.0003781292274232726,-0.0017248367329297774,-0.0017248367329297774,-0.0017248367329297774,0.0,0.0,0.0,-0.0003480265194482641
1008,2017-06-21,0.0017653045600364585,-0.016159604169355486,0.016116209473451788,0.0017653045600364585,0.0017653045600364585,-0.0019812468938298737,-0.0019812468938298737,-0.0019812468938298737,-0.00035013272140169133,-0.00035013272140169133,-0.00035013272140169133,-0.0016311141724281825,-0.0016311141724281825,-0.0016311141724281825,0.0,0.0,0.0,-0.00021594233379341522
1009,2017-06-22,0.0017756696791681316,-0.014602251245247022,0.01632414548412939,0.0017756696791681316,0.0017756696791681316,-0.0016255517119289423,-0.0016255517119289423,-0.0016255517119289423,-0.00010746332920288054,-0.00010746332920288054,-0.00010746332920288054,-0.0015180883827260615,-0.0015180883827260615,-0.0015180883827260615,0.0,0.0,0.0,0.0001501179672391893
1010,2017-06-23,0.001786034798299806,-0.014629250472277647,0.016996416948754724,0.001786034798299806,0.001786034798299806,-0.0008200257912049688,-0.0008200257912049688,-0.0008200257912049688,0.000570479103362346,0.000570479103362346,0.000570479103362346,-0.0013905048945673148,-0.0013905048945673148,-0.0013905048945673148,0.0,0.0,0.0,0.0009660090070948372
1011,2017-06-24,0.001796399917431479,-0.015358099302162845,0.01598364316095381,0.001796399917431479,0.001796399917431479,-0.000990943977580359,-0.000990943977580359,-0.000990943977580359,0.00026249211837435916,0.00026249211837435916,0.00026249211837435916,-0.0012534360959547185,-0.0012534360959547185,-0.0012534360959547185,0.0,0.0,0.0,0.00080545593985112
1012,2017-06-25,0.0018067650365631521,-0.01363046585459673,0.016096533216352533,0.0018067650365631521,0.0018067650365631521,-0.0007632687931607581,-0.0007632687931607581,-0.0007632687931607581,0.00034884923000040553,0.00034884923000040553,0.00034884923000040553,-0.0011121180231611636,-0.0011121180231611636,-0.0011121180231611636,0.0,0.0,0.0,0.001043496243402394
1013,2017-06-26,0.0018171301556948263,-0.016817977836296013,0.01473993026767673,0.0018171301556948263,0.0018171301556948263,-0.0013178809809632557,-0.0013178809809632557,-0.0013178809809632557,-0.000346095173709408,-0.000346095173709408,-0.000346095173709408,-0.0009717858072538479,-0.0009717858072538479,-0.0009717858072538479,0.0,0.0,0.0,0.0004992491747315706
